日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,5MA,10MA,20MA,60MA
111/07/06,"16,720,163","1,831,687,490",111.0,111.05,108.45,108.85,-2.15,"28,951",111.52999999999993,115.32500000000002,119.15999999999994,124.82250000000019
111/07/07,"13,797,274","1,529,508,284",109.45,112.15,108.55,112.1,+3.25,"13,307",110.78999999999994,114.745,118.34499999999994,124.48166666666685
111/07/08,"10,632,316","1,204,020,139",113.3,113.9,112.3,113.25,+1.15,"13,149",111.12999999999995,114.255,117.65249999999995,124.11833333333352
111/07/11,"8,031,808","904,913,578",113.65,113.7,111.85,112.25,-1.00,"12,407",111.48999999999994,113.38499999999999,117.08749999999993,123.74666666666685
111/07/12,"12,036,545","1,321,731,606",110.95,110.95,109.15,109.55,-2.70,"20,560",111.19999999999993,112.35999999999999,116.39749999999995,123.36833333333352
111/07/13,"25,339,925","2,868,407,778",113.0,113.65,112.6,113.45,+3.90,"18,017",112.11999999999993,111.825,115.93249999999993,123.06666666666685
111/07/14,"15,117,665","1,713,783,782",112.7,114.25,111.8,114.0,+0.55,"12,765",112.49999999999993,111.64500000000001,115.50749999999994,122.76666666666685
111/07/15,"19,084,676","2,192,351,516",114.6,115.65,113.75,115.5,+1.50,"16,864",112.94999999999993,112.04,115.23999999999994,122.48083333333352
111/07/18,"22,677,308","2,593,194,353",114.65,114.85,113.95,114.2,X0.00,"21,124",113.33999999999995,112.415,114.96249999999993,122.17166666666685
111/07/19,"13,479,392","1,540,004,175",113.95,114.65,113.6,114.3,+0.10,"13,416",114.28999999999994,112.745,114.56749999999995,121.88333333333351
111/07/20,"17,257,016","1,993,667,626",115.85,116.2,114.7,115.05,+0.75,"15,086",114.60999999999993,113.36500000000001,114.34499999999996,121.64666666666685
111/07/21,"9,016,500","1,043,315,930",115.4,116.35,115.0,116.35,+1.30,"8,960",115.07999999999993,113.79,114.26749999999996,121.43166666666686
111/07/22,"15,904,768","1,855,616,035",116.6,117.2,116.3,116.8,+0.45,"13,658",115.33999999999992,114.14500000000001,114.19999999999996,121.26916666666686
111/07/25,"10,845,215","1,264,021,428",116.3,116.95,116.0,116.7,-0.10,"13,409",115.83999999999992,114.59,113.98749999999995,121.09583333333352
111/07/26,"13,077,161","1,513,988,792",116.6,116.6,115.3,115.65,-1.05,"16,321",116.10999999999993,115.20000000000002,113.77999999999994,120.87750000000018
111/07/27,"8,102,634","939,120,906",115.5,116.7,115.15,116.7,+1.05,"6,945",116.43999999999994,115.52500000000002,113.67499999999993,120.69250000000017
111/07/28,"8,557,891","1,004,795,134",117.85,117.95,116.9,116.9,+0.20,"8,632",116.54999999999993,115.81500000000003,113.72999999999993,120.5108333333335
111/07/29,"8,291,615","979,364,354",118.15,118.5,117.65,118.0,+1.10,"8,204",116.78999999999994,116.06500000000003,114.05249999999992,120.3233333333335
111/08/01,"9,841,470","1,157,739,155",118.1,118.1,117.2,117.65,-0.35,"8,720",116.97999999999993,116.41000000000004,114.41249999999994,120.17333333333349
111/08/02,"18,600,451","2,149,115,164",116.55,116.55,115.1,115.55,-2.10,"22,146",116.95999999999992,116.53500000000004,114.63999999999994,120.0233333333335
111/08/03,"8,100,057","939,263,431",115.65,116.25,115.5,116.25,+0.70,"7,600",116.86999999999992,116.65500000000004,115.00999999999995,119.89416666666683
111/08/04,"7,108,342","826,140,065",116.35,116.8,115.2,116.55,+0.30,"7,988",116.79999999999991,116.67500000000004,115.23249999999996,119.76666666666684
111/08/05,"9,625,538","1,143,739,838",118.0,119.5,117.9,119.5,+2.95,"10,809",117.09999999999991,116.94500000000005,115.54499999999996,119.73750000000017
111/08/08,"8,966,011","1,066,313,383",119.0,119.25,118.3,119.25,-0.25,"10,279",117.41999999999992,117.20000000000005,115.89499999999995,119.68583333333349
111/08/09,"8,186,879","971,998,418",118.4,119.5,118.0,119.15,-0.10,"9,920",118.13999999999992,117.55000000000004,116.37499999999996,119.62166666666683
111/08/10,"7,796,649","919,415,561",118.0,118.2,117.5,117.9,-1.25,"13,624",118.46999999999991,117.67000000000004,116.59749999999997,119.51416666666681
111/08/11,"10,957,384","1,314,562,900",119.8,120.45,119.6,120.05,+2.15,"8,947",119.16999999999992,117.98500000000004,116.89999999999998,119.42000000000014
111/08/12,"8,598,361","1,038,027,809",120.55,121.0,120.3,120.8,+0.75,"7,656",119.42999999999991,118.26500000000003,117.16499999999999,119.37833333333349
111/08/15,"9,837,499","1,198,033,224",121.45,122.1,121.25,121.9,+1.10,"10,575",119.9599999999999,118.69000000000003,117.55,119.33250000000015
111/08/16,"10,114,278","1,235,256,112",122.0,122.3,121.9,122.1,+0.20,"10,769",120.54999999999991,119.34500000000003,117.93999999999998,119.2858333333335
111/08/17,"14,115,407","1,723,131,119",122.1,122.3,121.8,122.15,+0.05,"14,681",121.3999999999999,119.93500000000003,118.29499999999999,119.26333333333349
111/08/18,"5,637,817","683,651,223",121.4,121.45,120.95,121.35,-0.80,"9,013",121.65999999999993,120.41500000000003,118.54499999999999,119.21166666666683
111/08/19,"4,315,583","523,948,759",121.25,122.0,120.9,121.55,+0.20,"7,401",121.80999999999992,120.62000000000003,118.78249999999998,119.18916666666684
111/08/22,"8,972,758","1,076,431,037",120.0,120.25,119.7,119.8,-1.75,"19,855",121.38999999999992,120.67500000000003,118.9375,119.09416666666684
111/08/23,"11,095,739","1,314,798,887",118.55,119.0,118.2,118.2,-1.60,"18,728",120.60999999999993,120.58000000000001,119.06499999999998,118.92166666666684
111/08/24,"7,558,746","892,619,974",118.8,118.95,117.65,117.9,-0.30,"12,385",119.75999999999992,120.58000000000001,119.125,118.7233333333335
111/08/25,"5,143,118","611,992,350",118.5,119.45,118.45,119.0,+1.10,"6,976",119.28999999999992,120.47500000000002,119.22999999999999,118.55416666666683
111/08/26,"10,173,674","1,219,207,855",119.85,120.1,119.45,119.6,+0.60,"7,601",118.89999999999993,120.35500000000002,119.30999999999999,118.41750000000017
111/08/29,"17,248,914","2,007,953,600",116.25,116.95,116.0,116.55,-3.05,"31,024",118.24999999999993,119.82000000000001,119.255,118.21500000000017
111/08/30,"12,722,112","1,482,741,825",116.55,117.2,116.2,116.75,+0.20,"14,210",117.95999999999992,119.28500000000001,119.31499999999998,118.03750000000018
111/08/31,"7,324,798","854,472,563",115.95,117.6,115.8,117.6,+0.85,"8,421",117.89999999999993,118.83,119.38249999999998,117.85083333333351
111/09/01,"23,181,870","2,670,144,230",115.5,115.6,114.75,115.15,-2.45,"41,161",117.12999999999992,118.21000000000001,119.31249999999997,117.63000000000018
111/09/02,"15,351,769","1,755,500,653",115.1,115.1,113.85,113.9,-1.25,"29,767",115.98999999999992,117.44500000000002,119.03249999999998,117.41000000000017
111/09/05,"9,508,218","1,084,987,846",114.1,114.75,113.7,114.15,+0.25,"14,479",115.50999999999992,116.88000000000004,118.77749999999999,117.2533333333335
111/09/06,"6,757,649","775,277,096",114.8,115.4,114.25,114.9,+0.75,"8,756",115.13999999999992,116.55000000000004,118.56499999999998,117.11250000000015
111/09/07,"17,431,510","1,960,146,749",113.1,113.15,112.1,112.2,-2.70,"37,500",114.05999999999992,115.98000000000005,118.27999999999997,116.93666666666681
111/09/08,"7,535,495","849,210,347",113.05,113.05,112.4,113.0,+0.80,"9,354",113.62999999999992,115.38000000000004,117.92749999999997,116.77833333333348
