證券代號	證券名稱	成交股數	成交金額	開盤價	最高價	最低價	收盤價	漲跌價差	成交筆數
2465	麗臺	34212000	1497824100	44.8	45.15	42	42	-2.2	16723
2466	冠西電	57000	1847900	32.5	32.55	32.1	32.1	-0.7	44
2467	志聖	49000	2124800	43.3	43.5	43.2	43.45	-0.35	35
2468	華經	1375000	37778700	28.35	28.35	27.05	27.1	-1.35	795
2471	資通	94000	2575150	27.3	27.65	27.2	27.25	-0.25	64
2472	立隆電	176000	9939700	56.6	57	56.2	56.7	-0.4	153
2474	可成	9452000	1631326500	172.5	174.5	171.5	172	-2	4106
2476	鉅祥	679000	32707300	48.3	48.65	47.95	48.2	-0.7	491
2477	美隆電	74000	1476900	20.1	20.1	19.9	19.9	-0.25	50
2478	大毅	63000	2821500	44.75	45	44.5	44.85	-0.55	59
